ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
15521799,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,14,0.0,207,4491375183065,6,43.5,96.09095764160156,0.24260000884532928,0,0.0,0.0,,,,,0,,3,,
15521800,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,6,0.0,207,4491361658284,27,29.0,-113.05815887451172,0.8679999709129333,0,0.0,0.0,,,,,0,,3,,
15521800,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,13,0.0,207,4491363687016,811,15.2,534.453125,17.981000900268555,0,0.0,0.0,,,,,0,,3,,
15521800,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,15,0.0,207,4491372361686,6,43.8,-442.3833923339844,0.23810000717639923,0,0.0,0.0,,,,,0,,3,,
15521800,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,5,0.0,207,4491364400856,13,36.9,468.83612060546875,0.23120000958442688,0,0.0,0.0,,,,,0,,3,,
15521800,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,24,0.0,207,4491375016397,6,43.6,237.7292022705078,0.24260000884532928,0,0.0,0.0,,,,,0,,3,,
15521800,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,23,0.0,207,4491365156129,9,40.6,724.3939819335938,0.22910000383853912,0,0.0,0.0,,,,,0,,3,,
15521800,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,17,0.0,207,4491374681279,35,27.8,-549.7643432617188,1.0074999332427979,0,0.0,0.0,,,,,0,,3,,
15521800,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,1,0.0,15,339309362473957,8,41.0,385.20880126953125,0.02420000173151493,0,0.0,0.0,,,,,0,,1,,
15521801,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,6,0.0,15,339309364620805,164,22.8,-630.528564453125,7.002500534057617,0,0.0,0.0,,,,,0,,1,,
15521801,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,12,0.0,15,339309357203707,27,29.4,-547.20849609375,0.6019999980926514,0,0.0,0.0,,,,,0,,1,,
15521801,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,13,0.0,15,339309367386393,16,34.0,490.3577575683594,0.03720000013709068,0,0.0,0.0,,,,,0,,1,,
15521801,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,14,0.0,15,339309368845355,6,44.0,333.6285400390625,0.03160000219941139,0,0.0,0.0,,,,,0,,1,,
15521802,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,15,0.0,15,339309364382193,6,43.7,310.222412109375,0.026100000366568565,0,0.0,0.0,,,,,0,,1,,
15521802,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,17,0.0,15,339309372739918,11,38.3,245.81820678710938,0.04090000316500664,0,0.0,0.0,,,,,0,,1,,
15521802,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,19,0.0,15,339309374357988,12,37.4,-139.014404296875,0.04490000009536743,0,0.0,0.0,,,,,0,,1,,
15521802,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,24,0.0,15,339309365491174,10,39.1,-573.31787109375,0.029600001871585846,0,0.0,0.0,,,,,0,,1,,
15521802,2031200000000,,,-1329687678241534672,0.9616107940673828,37.16406354214996,-12.672209012479126,13.509115860903092,5,30,0.0,15,339309363250615,1613,25.1,625.7141723632812,26.93600082397461,0,0.0,0.0,,,,,0,,1,,
15522806,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,14,0.0,207,4492375182708,7,42.9,96.084716796875,0.24310000240802765,0,0.0,0.0,,,,,0,,3,,
15522806,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,6,0.0,207,4492361658723,31,28.3,-113.23619079589844,0.9279999732971191,0,0.0,0.0,,,,,0,,3,,
15522806,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,13,0.0,207,4492363685233,929,15.2,534.453125,19.481000900268555,0,0.0,0.0,,,,,0,,3,,
15522806,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,15,0.0,207,4492372363183,7,42.6,-442.43377685546875,0.2386000007390976,0,0.0,0.0,,,,,0,,3,,
15522806,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,5,0.0,207,4492364399331,12,37.9,468.8567810058594,0.22990001738071442,0,0.0,0.0,,,,,0,,3,,
15522806,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,24,0.0,207,4492375015610,7,42.1,237.8015594482422,0.24310000240802765,0,0.0,0.0,,,,,0,,3,,
15522806,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,23,0.0,207,4492365153728,9,40.6,724.3917236328125,0.22910000383853912,0,0.0,0.0,,,,,0,,3,,
15522807,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,17,0.0,207,4492374683330,46,25.4,-550.9603271484375,1.1375000476837158,0,0.0,0.0,,,,,0,,3,,
15522807,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,1,0.0,15,339310362472659,11,38.9,385.25384521484375,0.02590000070631504,0,0.0,0.0,,,,,0,,1,,
15522807,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,6,0.0,15,339310364622673,151,18.9,-629.7483520507812,4.362500190734863,0,0.0,0.0,,,,,0,,1,,
15522807,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,12,0.0,15,339310357205538,35,27.9,-547.9886474609375,0.6919999718666077,0,0.0,0.0,,,,,0,,1,,
15522807,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,13,0.0,15,339310367384762,19,32.9,490.3351745605469,0.05180000141263008,0,0.0,0.0,,,,,0,,1,,
